Date,Open,High,Low,Close,Adj Close,Volume
2019-12-02,52.610001,52.610001,52.610001,52.610001,41.718601,0
2019-12-03,52.369999,52.369999,52.369999,52.369999,41.528282,0
2019-12-04,52.669998,52.669998,52.669998,52.669998,41.766178,0
2019-12-05,52.660000,52.660000,52.660000,52.660000,41.758251,0
2019-12-06,53.139999,53.139999,53.139999,53.139999,42.138878,0
2019-12-09,52.930000,52.930000,52.930000,52.930000,41.972355,0
2019-12-10,52.830002,52.830002,52.830002,52.830002,41.893059,0
2019-12-11,53.060001,53.060001,53.060001,53.060001,42.075443,0
2019-12-12,53.389999,53.389999,53.389999,53.389999,42.337124,0
2019-12-13,53.520000,53.520000,53.520000,53.520000,42.440212,0
2019-12-16,54.020000,54.020000,54.020000,54.020000,42.836697,0
2019-12-17,54.090000,54.090000,54.090000,54.090000,42.892208,0
2019-12-18,54.240002,54.240002,54.240002,54.240002,43.011158,0
2019-12-19,54.560001,54.560001,54.560001,54.560001,43.264908,0
2019-12-20,51.119999,51.119999,51.119999,51.119999,43.447639,0
2019-12-23,51.169998,51.169998,51.169998,51.169998,43.490135,0
2019-12-24,51.180000,51.180000,51.180000,51.180000,43.498634,0
2019-12-26,51.439999,51.439999,51.439999,51.439999,43.719612,0
2019-12-27,51.430000,51.430000,51.430000,51.430000,43.711117,0
2019-12-30,50.980000,50.980000,50.980000,50.980000,43.328651,0
2019-12-31,51.130001,51.130001,51.130001,51.130001,43.456142,0
2020-01-02,51.669998,51.669998,51.669998,51.669998,43.915092,0
2020-01-03,51.410000,51.410000,51.410000,51.410000,43.694115,0
2020-01-06,51.779999,51.779999,51.779999,51.779999,44.008583,0
2020-01-07,51.730000,51.730000,51.730000,51.730000,43.966087,0
2020-01-08,52.090000,52.090000,52.090000,52.090000,44.272057,0
2020-01-09,52.380001,52.380001,52.380001,52.380001,44.518536,0
2020-01-10,52.160000,52.160000,52.160000,52.160000,44.331551,0
2020-01-13,52.480000,52.480000,52.480000,52.480000,44.603523,0
2020-01-14,52.480000,52.480000,52.480000,52.480000,44.603523,0
2020-01-15,52.650002,52.650002,52.650002,52.650002,44.748013,0
2020-01-16,53.009998,53.009998,53.009998,53.009998,45.053974,0
2020-01-17,53.130001,53.130001,53.130001,53.130001,45.155972,0
2020-01-21,53.029999,53.029999,53.029999,53.029999,45.070976,0
2020-01-22,53.020000,53.020000,53.020000,53.020000,45.062481,0
2020-01-23,53.130001,53.130001,53.130001,53.130001,45.155972,0
2020-01-24,52.720001,52.720001,52.720001,52.720001,44.807503,0
2020-01-27,51.720001,51.720001,51.720001,51.720001,43.957592,0
2020-01-28,52.320000,52.320000,52.320000,52.320000,44.467537,0
2020-01-29,52.380001,52.380001,52.380001,52.380001,44.518536,0
2020-01-30,52.349998,52.349998,52.349998,52.349998,44.493034,0
2020-01-31,51.590000,51.590000,51.590000,51.590000,43.847103,0
2020-02-03,52.299999,52.299999,52.299999,52.299999,44.450542,0
2020-02-04,53.410000,53.410000,53.410000,53.410000,45.393948,0
2020-02-05,53.650002,53.650002,53.650002,53.650002,45.597923,0
2020-02-06,53.849998,53.849998,53.849998,53.849998,45.767906,0
2020-02-07,53.650002,53.650002,53.650002,53.650002,45.597923,0
2020-02-10,54.080002,54.080002,54.080002,54.080002,45.963390,0
2020-02-11,54.259998,54.259998,54.259998,54.259998,46.116371,0
2020-02-12,54.730000,54.730000,54.730000,54.730000,46.515831,0
2020-02-13,54.770000,54.770000,54.770000,54.770000,46.549835,0
2020-02-14,54.849998,54.849998,54.849998,54.849998,46.617821,0
2020-02-18,54.939999,54.939999,54.939999,54.939999,46.694317,0
2020-02-19,55.380001,55.380001,55.380001,55.380001,47.068275,0
2020-02-20,54.970001,54.970001,54.970001,54.970001,46.719814,0
2020-02-21,54.270000,54.270000,54.270000,54.270000,46.124870,0
2020-02-24,52.279999,52.279999,52.279999,52.279999,44.433544,0
2020-02-25,50.830002,50.830002,50.830002,50.830002,43.201164,0
2020-02-26,50.840000,50.840000,50.840000,50.840000,43.209667,0
2020-02-27,48.880001,48.880001,48.880001,48.880001,41.543835,0
2020-02-28,48.889999,48.889999,48.889999,48.889999,41.552334,0
2020-03-02,50.619999,50.619999,50.619999,50.619999,43.022682,0
2020-03-03,49.290001,49.290001,49.290001,49.290001,41.892296,0
2020-03-04,51.259998,51.259998,51.259998,51.259998,43.566628,0
2020-03-05,49.700001,49.700001,49.700001,49.700001,42.240765,0
2020-03-06,48.709999,48.709999,48.709999,48.709999,41.399345,0
2020-03-09,45.150002,45.150002,45.150002,45.150002,38.373650,0
2020-03-10,47.180000,47.180000,47.180000,47.180000,40.098980,0
2020-03-11,45.080002,45.080002,45.080002,45.080002,38.314156,0
2020-03-12,41.230000,41.230000,41.230000,41.230000,35.041985,0
2020-03-13,44.310001,44.310001,44.310001,44.310001,37.659725,0
2020-03-16,39.209999,39.209999,39.209999,39.209999,33.325157,0
2020-03-17,40.910000,40.910000,40.910000,40.910000,34.770012,0
2020-03-18,38.820000,38.820000,38.820000,38.820000,32.993690,0
2020-03-19,39.820000,39.820000,39.820000,39.820000,33.843605,0
2020-03-20,38.900002,38.900002,38.900002,38.900002,33.061684,0
2020-03-23,38.560001,38.560001,38.560001,38.560001,32.772713,0
2020-03-24,41.450001,41.450001,41.450001,41.450001,35.228970,0
2020-03-25,41.849998,41.849998,41.849998,41.849998,35.568928,0
2020-03-26,44.090000,44.090000,44.090000,44.090000,37.472740,0
2020-03-27,42.540001,42.540001,42.540001,42.540001,36.155373,0
2020-03-30,43.720001,43.720001,43.720001,43.720001,37.158272,0
2020-03-31,43.410000,43.410000,43.410000,43.410000,36.894798,0
2020-04-01,41.610001,41.610001,41.610001,41.610001,35.364956,0
2020-04-02,42.230000,42.230000,42.230000,42.230000,35.891899,0
2020-04-03,41.669998,41.669998,41.669998,41.669998,35.415943,0
